repeat,tick,warmup,phase,cpu_ms
1,321,false,point,0.001416921615600586
1,322,false,point,0.001416921615600586
1,323,false,point,0.001374959945678711
1,324,false,point,0.0014159679412841797
1,325,false,point,0.001416921615600586
1,326,false,point,0.001416921615600586
1,327,false,point,0.001416921615600586
1,328,false,point,0.0014159679412841797
1,329,false,point,0.0014159679412841797
1,330,false,point,0.001374959945678711
1,331,false,point,0.001374959945678711
1,332,false,point,0.001416921615600586
1,333,false,point,0.0014171600341796875
1,334,false,point,0.0014171600341796875
1,335,false,point,0.001374959945678711
1,336,false,point,0.0014159679412841797
1,337,false,point,0.001416921615600586
1,338,false,point,0.0014171600341796875
1,339,false,point,0.0015001296997070312
1,340,false,point,0.0014162063598632812
1,341,false,rally,0.005666971206665039
1,342,false,rally,0.0024580955505371094
1,343,false,rally,0.001917123794555664
1,344,false,rally,0.002624988555908203
1,345,false,rally,0.0018329620361328125
1,346,false,rally,0.0017919540405273438
1,347,false,rally,0.001833200454711914
1,348,false,rally,0.0017919540405273438
1,349,false,rally,0.0017921924591064453
1,350,false,rally,0.002042055130004883
1,351,false,rally,0.0017919540405273438
1,352,false,rally,0.0017910003662109375
1,353,false,rally,0.0018339157104492188
1,354,false,rally,0.0018329620361328125
1,355,false,rally,0.0018329620361328125
1,356,false,rally,0.0017921924591064453
1,357,false,rally,0.0018749237060546875
1,358,false,rally,0.0018329620361328125
1,359,false,rally,0.0018749237060546875
1,360,false,rally,0.001833200454711914
1,361,false,rally,0.0018339157104492188
1,362,false,rally,0.0017910003662109375
1,363,false,rally,0.0017919540405273438
1,364,false,rally,0.0017921924591064453
1,365,false,rally,0.0017910003662109375
1,366,false,rally,0.0018339157104492188
1,367,false,rally,0.0018749237060546875
1,368,false,rally,0.0018749237060546875
1,369,false,rally,0.0017921924591064453
1,370,false,rally,0.0017919540405273438
1,371,false,rally,0.0018329620361328125
1,372,false,rally,0.0018329620361328125
1,373,false,rally,0.0018749237060546875
1,374,false,rally,0.0018329620361328125
1,375,false,rally,0.0018339157104492188
1,376,false,rally,0.001833200454711914
1,377,false,rally,0.0022499561309814453
1,378,false,rally,0.0018749237060546875
1,379,false,rally,0.0018339157104492188
1,380,false,rally,0.0018329620361328125
1,381,false,rally,0.0018341541290283203
1,382,false,rally,0.0018329620361328125
1,383,false,rally,0.0018329620361328125
1,384,false,rally,0.0017919540405273438
1,385,false,rally,0.0017921924591064453
1,386,false,rally,0.296375036239624
1,387,false,rally,0.004708051681518555
1,388,false,rally,0.002042055130004883
1,389,false,rally,0.0018329620361328125
1,390,false,rally,0.0019578933715820312
1,391,false,rally,0.0018329620361328125
1,392,false,rally,0.0021657943725585938
1,393,false,rally,0.0018749237060546875
1,394,false,rally,0.0018339157104492188
1,395,false,rally,0.0018749237060546875
1,396,false,rally,0.0017910003662109375
1,397,false,rally,0.0017499923706054688
1,398,false,rally,0.0017919540405273438
1,399,false,rally,0.0018329620361328125
1,400,false,rally,0.0018329620361328125
1,401,false,rally,0.001875162124633789
1,402,false,rally,0.0018341541290283203
1,403,false,rally,0.0018329620361328125
1,404,false,rally,0.0018329620361328125
1,405,false,rally,0.0017919540405273438
1,406,false,rally,0.0017921924591064453
1,407,false,rally,0.002042055130004883
1,408,false,rally,0.0017921924591064453
1,409,false,rally,0.0017919540405273438
1,410,false,rally,0.0018329620361328125
1,411,false,rally,0.0018329620361328125
1,412,false,rally,0.001833200454711914
1,413,false,rally,0.0017919540405273438
1,414,false,rally,0.0018329620361328125
1,415,false,rally,0.0017919540405273438
1,416,false,rally,0.001875162124633789
1,417,false,rally,0.0018329620361328125
1,418,false,rally,0.0024580955505371094
1,419,false,rally,0.001875162124633789
1,420,false,rally,0.0018749237060546875
1,421,false,rally,0.0018339157104492188
1,422,false,rally,0.0018329620361328125
1,423,false,rally,0.0018341541290283203
1,424,false,rally,0.0018329620361328125
1,425,false,rally,0.0018339157104492188
1,426,false,rally,0.0017910003662109375
1,427,false,rally,0.0017921924591064453
1,428,false,rally,0.0017919540405273438
1,429,false,rally,0.0017499923706054688
1,430,false,rally,0.0017910003662109375
1,431,false,rally,0.0018339157104492188
1,432,false,rally,0.0018329620361328125
1,433,false,rally,0.0017919540405273438
1,434,false,rally,0.0017910003662109375
1,435,false,rally,0.0018329620361328125
1,436,false,rally,0.0018329620361328125
1,437,false,rally,0.0018329620361328125
1,438,false,rally,0.0017499923706054688
1,439,false,rally,0.0018749237060546875
1,440,false,rally,0.0018329620361328125
1,441,false,rally,0.0017919540405273438
1,442,false,rally,0.0018329620361328125
1,443,false,rally,0.0018341541290283203
1,444,false,rally,0.0022499561309814453
1,445,false,rally,0.0018329620361328125
1,446,false,rally,0.0018341541290283203
1,447,false,rally,0.0017910003662109375
1,448,false,rally,0.0018339157104492188
1,449,false,rally,0.0018329620361328125
1,450,false,rally,0.0017921924591064453
1,451,false,rally,0.0018329620361328125
1,452,false,rally,0.0018339157104492188
1,453,false,rally,0.0017910003662109375
1,454,false,rally,0.0018341541290283203
1,455,false,rally,0.0017919540405273438
1,456,false,rally,0.0018329620361328125
1,457,false,rally,0.0017919540405273438
1,458,false,rally,0.0017910003662109375
1,459,false,rally,0.0017499923706054688
1,460,false,rally,0.0018749237060546875
1,461,false,rally,0.0017919540405273438
1,462,false,rally,0.0017919540405273438
1,463,false,rally,0.0018329620361328125
1,464,false,rally,0.0017499923706054688
1,465,false,rally,0.0017919540405273438
1,466,false,rally,0.0017919540405273438
1,467,false,rally,0.0017919540405273438
1,468,false,rally,0.0017499923706054688
1,469,false,rally,0.0017910003662109375
1,470,false,rally,0.0017919540405273438
1,471,false,rally,0.0017080307006835938
1,472,false,rally,0.0017919540405273438
1,473,false,rally,0.0018329620361328125
1,474,false,rally,0.0017921924591064453
1,475,false,rally,0.0017499923706054688
1,476,false,rally,0.0017499923706054688
1,477,false,rally,0.0017499923706054688
1,478,false,rally,0.0017919540405273438
1,479,false,rally,0.0017499923706054688
1,480,false,rally,0.0017919540405273438
1,481,false,rally,0.0017499923706054688
1,482,false,rally,0.0017921924591064453
1,483,false,point,0.00929117202758789
1,484,false,point,0.0017499923706054688
1,485,false,point,0.0017919540405273438
1,486,false,point,0.0017499923706054688
1,487,false,point,0.0017499923706054688
1,488,false,point,0.0017499923706054688
1,489,false,point,0.0018339157104492188
1,490,false,point,0.0017499923706054688
1,491,false,point,0.0017919540405273438
1,492,false,point,0.0017921924591064453
1,493,false,point,0.0019161701202392578
1,494,false,point,0.0017910003662109375
1,495,false,point,0.0015420913696289062
1,496,false,point,0.0014162063598632812
1,497,false,point,0.001374959945678711
1,498,false,point,0.001416921615600586
1,499,false,point,0.001416921615600586
1,500,false,point,0.0021250247955322266
1,501,false,point,0.0014579296112060547
1,502,false,point,0.001416921615600586
1,503,false,point,0.0014579296112060547
1,504,false,point,0.001458883285522461
1,505,false,point,0.0014159679412841797
1,506,false,point,0.0014171600341796875
1,507,false,point,0.0014171600341796875
1,508,false,point,0.0014581680297851562
1,509,false,point,0.001416921615600586
1,510,false,point,0.0014159679412841797
1,511,false,point,0.001416921615600586
1,512,false,point,0.001416921615600586
1,513,false,point,0.0014159679412841797
1,514,false,point,0.0014171600341796875
1,515,false,point,0.0014579296112060547
1,516,false,point,0.004333972930908203
1,517,false,point,0.001458883285522461
1,518,false,point,0.0014159679412841797
1,519,false,point,0.0014591217041015625
1,520,false,point,0.0014579296112060547
